>>L<<English	,>>L<<Chinese
toxonosis	,中毒病
toxoplasmosis	,弓形体病
toy	,玩具
toy for children	,儿童玩具
TQC	,全面质量控制
TQM	,全员质量管理
trace	,痕迹
trace ability	,跟踪能力
trace back	,回忆
trace classical conditioning	,痕迹古典条件作用
trace command	,跟踪指令
trace conditioning	,痕迹条件作用
trace conditioning reflex	,痕迹条件反射 遗迹制约反射
trace decay theory of memory	,记忆痕迹减退论
trace line	,痕迹线
trace reflex	,痕迹反射
trace routine	,跟踪程序
trace theory	,痕迹论
tracedependent forgetting	,痕迹性遗忘
tracer	,示踪器
tracer method	,示踪法
tracer study	,示踪研究
tracing	,追踪
tracing board	,循轨板
tracing program	,跟踪程序
track	,追踪
tracker	,追踪器
tracking	,追踪
tracking behavior	,追踪行为
tracking method	,追踪法
tracking task	,追踪作业
tract	,束
tract of Gowers	,脊髓小脑前束
tractate	,论文
tractus cerebrospinalis	,大脑脊髓束
tractus corticopontini	,皮质脑桥束
tractus olivospinalis	,橄榄脊髓束
tractus opticus	,视束
tractus pontospinalis	,脑桥脊髓束
tractus pyramidalis	,锥体束
tractus rubrospinalis	,红核脊髓束
trade mark	,商标
trade test	,职业测验
tradeoff function	,交替使用机能
tradition	,传统
tradition directed	,传统取向
tradition management theory	,传统管理理论
traditional approach	,传统取向
traditional authority	,传统权威
traditional belief	,传统的信仰
traditional investigation method	,传统调查方法
traditional management theory	,传统管理理论
traditional marriage	,传统婚姻
traditional method	,传统方法
traditional organization theory	,传统组织理论
traditional statistical analysis	,传统统计分析
traditional statistical investigation method	,传统统计调查方法
traditional statistical method	,传统统计方法
traditional view	,传统观念
traditiondirected	,传统取向的
traditiondirected person	,传统取向者
traduce	,诽谤
traducer	,诽谤者
traffic	,交通
traffic control	,交通管制
traffic flow	,交通流量
traffic light	,交通信号灯
traffic line	,交通线
traffic noise	,交通噪声
traffic psychology	,交通心理学
traffic signal	,交通信号
traffic signs	,交通标志
tragedy	,悲剧
tragic atmosphere	,悲剧气氛
tragic conflict	,悲剧性冲突
tragic psychology	,悲剧心理
train	,序列
train of impulse	,冲动序列
train of thought	,思想序列
trainability	,可训练性
trainable mentally retarded children	,可训练心智不足儿童
trainable retardate	,可训练弱智者
trained personnel	,专门人才
trainee	,受训练者
trainers	,练习器
training	,训练
training accident prevention	,事故预防训练
training aids	,训练器
training analysis	,训练分析
training at high altitude	,高海拔训练
training college	,师范学院
training curve	,训练曲线
training devices	,训练装置
training effect	,训练效果
training goal	,训练目的
training group	,训练团体
training in human relation	,人类关系训练
training in reducing anxiety	,减缓焦虑训练
training in the field	,实地训练
training method	,训练方法
training objectives	,训练目的
training of attention distribution	,注意分配训练
training of communication skills	,沟通技能训练
training of leadership	,领导的培训
training of manpower	,人员培训
training plan	,训练计划
training product in early stage	,早期训练计划
training psychology	,培训心理学
training school	,师范学校
training simulator	,训练模拟器
training station	,训练台
training system	,训练系统
training transfer	,训练迁移
training within industry	,工场内训练
trainingtype athlete	,训练型运动员
trait	,特质
trait anxiety	,特质性焦虑
trait approach of leadership	,领导的特质取向
trait clusters	,特质群
trait continuity	,特质持续性
trait profile	,特质剖析图
trait psychology	,特质心理学
trait theory	,特质论
trait theory of leadership	,领导的特质理论
trait validity	,特质效度
trajectory	,轨迹
trample	,轻蔑
trance	,昏迷
tranquility	,平静状态
tranquilize	,使镇静
tranquilizer	,镇静剂
tranquilizing drug	,镇静性药物
trans test	,反序测验
transact	,处理
transaction	,相互影响
transactional analysis	,相互作用分析
transactional analysis group	,相互作用分析团体
transactional leader	,交易型领导者
transactional psychology	,相互影响心理学
transactional theory of perception	,知觉交互作用论
transactionalism	,相互影响论
transactor	,办理人
transcend	,超越
transcendence	,超越性
transcendence of ego	,自我的超越性
transcendent function	,超越功能
transcendental aphasia	,超皮质性失语症 超皮质性失语症
transcendental doctrine of knowledge	,生知论
transcendental experience	,升华经验
transcendental illusion	,先验错觉
transcendental meditation	,超觉冥想
transcendental psychology	,先验心理学
transcendental selfactualization	,超越型自我实现
transcendentalism	,超自然论
transcendentalist	,先验论者
transcortical aphasia	,皮质间性失语症
transcortical apraxia	,经皮质性运用不能 经皮质性运用不能
transcortical motor aphasia	,超皮质运动失语症
transcortical sensory aphasia	,超皮质感觉失语症
transcription	,转录
transcultural psychiatry	,跨文化精神病学
transducer	,转换器
transduction	,转换作用
transduction inference	,转导推理
transductional control	,转录控制
transductive reasoning	,转换推理
transductive thinking	,转换式思维
transection	,横断面
transection lesion	,横断损伤
transexualism	,易性癖
transfer	,迁移
transfer and retraction surface	,迁移逆向曲面
transfer behavior	,迁移行为
transfer by generalization	,类化迁移
transfer effect	,转移效果
transfer factor	,转移因子
transfer in sports skill	,运动技能迁移
transfer of attention	,注意转移
transfer of habit	,习惯迁移
transfer of learning	,学习迁移
transfer of mental set	,心向迁移
transfer of principle	,原则迁移
transfer of response	,反应迁移
transfer of skill	,技能迁移
transfer of training	,训练迁移
transfer paradigm	,迁移范例
transfer ribonucleic acid	,转移核糖核酸
transfer theory	,迁移说
transfer training	,迁移训练
transferase	,转移酶
transference	,传递
transference	,移情
transference cure	,症状消失
transference neurosis	,转移性神经官能症
transference remission	,症状转轻
transference resistance	,移情抗拒
transferencelove	,移情之爱
transferred meaning	,转义
transferring enzyme	,转移酶
transfiguration	,理想化
transfigure realism	,普形实在论
transform	,转化
transformant doctrine	,变化学说
transformation	,转化作用
transformation image	,变形表象
transformation of contradiction	,矛盾转化矛盾转化
transformation of criminal motives	,犯罪动机的转化
transformation process	,转换过程
transformation rule	,转化规律
transformational grammar	,转换语法
transformational leader	,变革型领导者
transformational rule	,转换规则
transformational substance	,转换物质
transformationalgenerative grammar	,转换生成语法
transformationism	,生物变化论
transforming DNA	,转化DNA
transformism	,种变说
transgress	,违反
transgression	,越轨
transient	,暂时的
transient activity	,短暂的活动
transient analysis	,瞬态分析
transient behavior	,瞬时行为
transient cause	,瞬时原因
transient condition	,瞬时条件
transient global amnesia	,发作性全面性遗忘症
transient motion	,瞬变运动
transient organic psychotic condition	,过渡机质精神症状
transient situational disturbance	,暂时情境困扰
transient situational personality disorder	,暂时情境性人格异常
transient time	,瞬态时间
transinsular	,经脑岛的
transit advertising	,交通广告
transition	,过渡
transition	,转变
transition effect	,跃迁效应
transition factor	,过渡因素
transition period	,过渡期
transition point	,过渡点
transition point	,转点
transition probability	,迁移概率
transition state	,过渡状态
transition zone	,转变区
transitional facility	,过渡设备
transitional object	,过渡对象
transitional phenomenon	,过渡现象
transitional situational disturbance	,过渡情境性障碍
transitive relation	,传递关系
transitive state	,过渡状态
transitivism	,互易感觉
transitivity	,过渡性
transitory	,暂时的
transitory phase	,暂时相
translate	,翻译
translating machine	,翻译机
translation	,翻译
translocation	,改变位置
transmarginal inhibition	,超限抑制
transmethylation	,转甲基作用
transmigrate	,移居
transmissibility	,传递性遗传
transmission	,传递
transmission deafness	,传导性耳聋
transmission loss	,传导损失
transmission of culture	,文化传递
transmission of knowledge	,知识传递
transmission of neural signal	,神经信号传递
transmit	,传播
transmit information	,传输信息
transmitter	,传递物
transmitter substance	,传递物质
transmutability	,可变性
transmutation	,演变
transmutation of measures	,量数转换
transmuted score	,转换分数
transparency	,透明度
transparent color	,透明色
transparent surface color	,透明表面色
transpersonal psychology	,超个人心理学 超个人心理学
transport	,转移
transport phenomena	,迁移现象
transportation	,交通运输
transportation accident	,交通事故
transportation advertising	,交通广告
transpose	,变换
transposition	,调换
transposition of affect	,情感置换
transposition of Gestalten	,完形互换性
transposition theory	,转换论
transposon	,转座子
transsexual	,异性癖者
transsexualism	,异性认同癖
transtemporal	,经颞叶的
transthalamic	,经丘脑的
transversal	,横向的
transverse	,横向的
transverse muscle	,横肌
transverse nerve	,横神经
transverse section	,横断面
transverse wave	,横波
transvestism	,异装癖
transvestite	,异装癖者
transvestitism	,扮异性癖
trapezoid window	,梯形窗
trauma	,创伤
trauma surgery	,创伤外科
traumasthenia	,创伤性神经衰弱
traumatic amnesia	,外伤性遗忘
traumatic constitution	,创伤性体质
traumatic delirium	,创伤性谵妄
traumatic dementia	,外伤性痴呆
traumatic experiences	,创伤经验
traumatic hysteria	,创伤性癔病
traumatic memory	,创伤记忆
traumatic neurosis	,外伤性神经官能症 外伤性神经官能症
traumatic psychosis	,创伤性精神症
traumatophilia	,嗜创伤癖
traumatophobia	,伤害恐怖症
traveling psychology	,旅游心理学
traveling wave theory	,行波说
treasure	,珍惜
treat	,处理
treatise	,论文
treatise on sensation	,感觉说
treatment	,处理
treatment	,治疗
treatment comparison	,处理比较
treatment contrast	,处理对比
treatment effect	,治疗效果
treatment effectiveness evaluation	,治疗效果评价
treatment group	,控制组
treatment group	,治疗组
treatment interview	,治疗性面谈
treatment of data	,数据处理
treatment of prisoner	,罪犯的处理
treatment variable	,处理变量
tree diagram	,树形图
tree graph	,树图
tree structure	,树形结构
trembling	,颤动
tremogram	,震颤描记图
tremograph	,震颤描记器
tremolo	,颤音
tremometer	,震颤仪
tremor	,发抖
tremor	,震颤
trend	,趋向
trend analysis	,趋势分析
trend analysis method	,趋势分析法
trend study	,趋势研究
trend test	,趋势检验
trepan	,诱惑者
trepidation	,震颤
TRF	,促甲状腺释放因子
triad	,三合一
triadic relation	,三者关系
triadic theory	,三元论
trial	,尝试
trial and error	,尝试错误
trial and error correction	,尝试错误矫正 尝试错误矫正
trial and error learning	,尝试错误学习
trial and error method	,尝试错误法
trial and error response	,尝试错误反应
trial and error success	,尝试错误成功
trial and error theory	,尝试错误说
trial and success	,尝试与成功
trial identification	,尝试认同
trial learning	,尝试学习
trial marriage	,试婚
trial response	,尝试反应
trial solution	,试探解
trialanderror learning	,试误学习
trialanderror theory	,尝试错误说
tribadismus	,女同性恋
tribulation	,苦难
trichoaesthesia	,毛发觉
trichoanesthesia	,毛发感觉缺失
trichoesthesia	,毛发觉
trichographism	,立毛反射
trichokryptomania	,断发癖
trichologia	,拔毛发癖
trichopathophobia	,毛发病恐怖症
trichophagy	,食毛癖
trichophobia	,毛发恐怖症
trichroism	,三色
trichromat	,三色视者
trichromatic colorimeter	,三色色彩计
trichromatic theory	,三色视觉论
trichromatic vision	,三色视觉
trichromatism	,三色视觉
trichromatopsia	,三色视
trick	,恶作剧
trickiness	,诡计多端
trickster	,骗子
tricorn	,侧脑室
tridimensional theory of feeling	,感情三维度说
trier	,检验者
trifle	,琐事
trifluoperazine	,三氟甲哌氧丙嗪
trigeminal	,三叉神经的
trigeminal nerve	,三叉神经
trigeminus	,三叉神经
trigger	,触发
trigger action	,触发动作
trigger feature	,触发特征
trigonum olfactorium	,嗅三角
trigram	,三项元
trilinear decomposition	,三线分解
tripartite grouping	,三等级分组法
tripartite theory	,三分论
triple interaction	,三重交互作用
triple receptor theory	,三色感受器学说三色感受器学说
triplet	,三胞胎
triplopia	,三重复视
triskaidekaphobia	,恐十三数症
trisomy	,三性体
trisomyD syndrome	,D 组三体综合症
trisomyE syndrome	,E 组三体综合症
tristimulus value	,三色刺激值
trisynaptic circuit	,三突触回路
tritanopia	,丙型色盲
tritanopia	,蓝黄色盲
triumph	,成功
tridimensional leader effectiveness model	,三维领导有效性模式
tridimensional management style theory	,三维管理类型理论
tridimensional model	,三维模式
tridimensional model of structure of intelligence	,智力三维结构模型
tRNA	,转移核糖核酸
trochlear nerve	,滑车神经
troglodyte	,类人猿
troglodyte	,穴居人
troland	,托兰
tromomania	,震颤性谵妄
trophallaxis	,交哺
trophesy	,神经性营养不良
trophic	,摄食的
trophic	,营养的
trophic behavior	,摄食行为
trophic centre	,营养中枢
trophic disturbance	,营养失调
trophic function	,营养机能
trophic level	,营养水平
trophic nerve	,营养神经
trophic structure	,营养结构
trophism	,营养性
trophoblast	,滋养层
trophoderm	,滋养层
trophon	,神经元营养质
trophoneurosis	,营养神经病
trophonosis	,营养病
trophopathia	,营养病
trophotaxis	,趋营养性
trophotherapy	,营养疗法
tropic behavior	,向性行为
tropic function	,营养机能
tropic hormone	,促内分泌腺激素
tropical amnesia	,热带性遗忘
tropical zone	,热带
tropism	,趋向性
troubled waters	,混乱状态
trough	,低谷
trough maze	,槽迷津
trounce	,严责
Trousseaus sign	,脑病性划痕症
Trousseaus sign	,特鲁索症
Trousseaus twitching	,面肌颤搐
truancy	,逃学
truant	,逃避责任者
truck	,信息通路
truculence	,好战
true anxiety	,真实焦虑
true aphasia	,真性失语
true cause	,真正原因
true concept	,真实概念
true concept of number	,数字实念
true dichotomous variable	,纯二分变量
true experimental method	,纯实验法
true experimental research	,纯实验研究 纯实验研究
true hallucination	,真性幻觉
true hermaphrodism	,真两性畸形
true judgment	,正确判断
true mean	,真平均数
true measure	,真量数
true negative	,正确否定
true population	,实在总体
true positive	,正确肯定
true representation	,真实表示
true score	,真分数
true score theory	,真分数理论
true self	,真实自我
true value	,真值
true variance	,真变异数
true vocal cord	,声带
trueness	,真实性
truefalse item	,是非题
truefalse method	,正误法
truefalse test	,是非题测验
truism	,自明之理
truncated distribution	,截尾分布
truncated distribution	,缺极端分布
truncation	,截断
truncus corporis callosi	,胼胝体干
trunk control	,躯干控制
trust	,信任
trust psychology	,信任心理
trust vs. mistrust conflict	,信任与疑拒的冲突
trustiness	,可信赖
trustworthiness	,可信赖度
truth	,真理
truth criterion	,真理标准
truth to tell	,说实话
truthful data	,真实数据
try	,尝试
try and error method	,尝试错误法
try on	,试验
try out	,试验
tryptophan	,色氨酸
TSD	,信号觉察理论
TSH	,促甲状腺激素
TTS	,暂时性阈移
tube	,管
tubera cinereum	,灰白结节
tuberculum cinereum	,灰小结节
tuberous sclerosis	,结节性硬化症
Tukey Studentized Range Test	,杜凯氏差距检定
Tukey test	,杜凯氏考验
tumult	,激动
tumultuous	,骚动
tumultuous growth	,烈性生长
tune	,调谐
tuning fork	,音叉
tunnel phenomenon	,隧道现象
tunnel vision	,隧道视觉
turbid thoughts	,混乱的思想
Turing machine	,图灵机
Turing test	,图灵检定
turmoil	,混乱
turn taking	,轮流
turndown	,拒绝
Turners syndrome	,特纳氏综合症
turnover	,更新
turnover	,离职
turnover rate	,流动率
tutelage	,监护
tutelar authority	,监护人的权利
TV	,电视
twaddle	,废话
tweak	,苦恼
tween brain	,间脑
twelve hours shift	,十二小时轮班制
twelve types of talent	,十二才
twenty four hours shift	,二十四小时轮班制
TWI	,工厂内训练
twilight attack	,朦胧间发作
twilight sleep	,朦胧睡眠
twilight state	,朦胧状态
twilight vision	,暗视
twilight vision	,微光视觉
twin cones	,视网膜双锥体
twin control	,孪生控制法
twin method	,孪生儿法
twin studies	,孪生子研究
twinge	,刺痛
twining	,孪生
twins	,孪生儿
twinship	,孪生
twisted cord illusion	,编索错觉
twit	,责备
twitch	,颤搐
twixtbrain	,间脑
two categories of judgment	,二类判断
two cultures	,双重文化
two factor design	,二因素设计
two hands coordination	,双手协调
two hands coordination apparatus	,双手调节器
two normal population	,双正态总体
two points limen	,两点阈
two points threshold	,两点阈
two signaling system	,两种信号系统
two tailed test	,正反测验
two type of memory stores	,两种存贮库
two type of selfactualization	,两种自我实现类型
twocolumn method	,二列法
twodimension	,双维归因
twodimensional model of structure of intelligence	,智力二维结构模型
twofactor theory	,双因素理论
twofactor theory of avoidance	,躲避双因素论
twofactor theory of emotion	,情绪双因素论
twofactor theory of intelligence	,智力双因素说
twolevel theory of mental	,智能双层说
twomode twoway data	,二相二元数据 二相二元数据
twoperson game	,二人博奕
twoperson nonzerosum game	,二人非零和博奕
twoperson zerosum game	,二人零和博奕
twopoint discrimination	,两点辨别
twopoint limen	,两点阈
twopoint threshold	,两点阈
twopopulation hypothesis testing	,二总体假设检定
twoprocess learning theory	,二历程学习论
twosided argument	,正反兼顾议论
twosided communication	,双面沟通
twosided distribution	,双面论证
twosided message	,双面说辞
twostage analysis	,两段分析
twostage memory theory	,二期记忆论
twostage sampling	,两段抽样
twostep flow of communication	,二段传播 二段传播
twotailed test	,双侧考验
twotrack plan	,双轨制
twoway classification	,二分法
twoway communication	,双向沟通
twoway conversation	,双向交谈
twoway grid	,二程格式
twoway relation	,双向关系
twoway specification table	,两向度细目表
twoway table	,两向度表
twoword stage	,双词期
twowords sentence	,双词句
tylosteresis	,胼胝切除术
tympanal	,鼓室的
tympanic bone	,鼓骨
tympanic membrane	,鼓膜
tympanum	,鼓膜
type	,感觉反应型
type	,类型
type A behavior	,A 型行为
type A behavior pattern	,A 型行为类型
type A personality	,A 型人格
type B behavior	,B 型行为
type B behavior pattern	,B 型行为类型
type C behavior pattern	,C 型行为类型
type fallacy	,类型谬误
type of body	,体型
type of coach	,教练员类型
type of cognition	,认知类型
type of consumers	,消费者类型
type of criminals	,罪犯类型
type of decision making	,决策类型
type of error	,误差类型
type of higher nervous activity	,高级神经活动类型
type of inquiry	,调查类型
type of interpersonal relations	,人际关系类型
type of organization	,组织形式
type of play	,游戏类型
type of population	,总体类型
type of religious experience	,宗教经验类型
type of sampling	,抽样类型
type of teacher	,教师类型
type of teaching	,教学类型
type of temperament	,气质类型
type of work	,工作类型
type reaction	,典型反应
type theory	,类型论
Type Ⅰ conditioning	,第一型条件作用 第一型制约作用
type Ⅰ error	,第一类型错误
Type Ⅱ conditioning	,第二型条件作用 第二型制约作用
Type Ⅱ error	,第二类型错误
type Ⅲ error	,第三类型错误
types of temperament	,气质类型
typewriting task	,打字工作
TypeS conditioning	,刺激型条件作用
typhlogy	,盲学
typhlolexia	,词盲
typhlolexia	,视性失语
typhlosis	,视觉缺性失
typical	,典型的
typical character	,典型性格
typical characteristic	,典型特征
typical data	,典型数据
typical dream	,典型梦
typical environment	,典型环境
typical form	,典型式
typical personality	,典型人格
typical sampling	,典型抽样
typical value	,范值
typicality	,典型性
typicality effect	,典型性效应
typicality of character	,性格的典型性
typically proportional sampling	,类型比例抽样
typing	,定型
Typing Tests for Business	,商业打字测验
typological	,类型的
typological method	,类型学方法
typological psychology	,类型心理学
typological theory	,类型论
typological theory of criminals	,罪犯类型论
typological theory of higher nervous activity	,高级神经活动类型论
typological thinking	,类型逻辑思维
typology	,类型学
typoscope	,弱视矫正器
tyrannism	,暴虐狂
tyranny	,暴虐
tyrosine	,酪氨酸
Tgroup training	,T 组训练
Tgroup training	,训练小组训练
	,Toptimal experimental design
U hypothesis	,U 假设
U maze	,U 型迷宫
U test	,U 检定
U.S. Army Test	,美国军队测验
uberty	,生育力
ubiquitous	,普遍存在的
UCG	,超声心动图
UchidaKrapelin Psychodiagnostic Test	,内田卡派林精神检查
UCR	,无条件反射
UCR	,无条件反应
UCS	,无条件刺激
Ucs	,无意识
uglification	,丑化
uglify	,丑化
ugly	,丑的
Uhthoffs sign	,马托夫症
ulcer personality	,溃疡性格
ulcerative	,溃疡
ulcus	,溃疡
ulegyria	,瘢痕性脑回
ullage	,缺量
ulna	,尺骨
ulterior motive	,最终动机
ultimate check	,最后核查
ultimate principle	,基本原理
ultimate unit	,基本单位
ultimatum	,最后结论
ultraprophylaxis	,超预防
ultrared	,红外区
ultrared ray	,红外线
ultrashort wave	,超短波
ultrasonic	,超声波的
ultrasonic cardiogram	,超声心动图
ultrasonic noise limit	,超声噪声限度
ultrasonic wave	,超声波
ultrasonics	,超声学
ultrasonogram	,超声波图
ultrasonograph	,超声波检查仪
ultrasonography	,超声波检查
ultrasonologist	,超声波专家
ultrasound	,超声
ultrasoundcardiogram	,超声心动图
ultraviolet	,紫外线的
ultraviolet light	,紫外光
ultraviolet radiation	,紫外线辐射
ultraviolet ray	,紫外线
ultraviolet therapy	,紫外线治疗
ultraviolize	,紫外线照射
ultraviometer	,紫外线测量计
ultravioresistant	,抗紫外线的
ultraviosensitive	,紫外线敏感的
ultravires	,越权行为
ultraparadoxical cell	,超反象细胞
ultraparadoxical phase	,超反常相
ultrared	,红外线的
ultrashortwave treatment	,超短波疗法
ultromotivity	,自动力
ululation	,嚎叫
umbilical cord	,脐带
umbrascopy	,视网膜镜检查
unabashed	,大胆的
unabated	,不减弱的
unable	,不能的
unaccented	,不重读的
unacceptable	,不可接受的
unaccommodated	,不适合的
unaccommodating	,不随和的
unaccompanied	,无伴侣的
unaccomplished	,未完成的
unaccountable	,不可理解的
unaccredited	,未经认可的
unacquaintance	,不知晓
unacquainted	,不熟悉的
unacquirable	,无法获得的
unadaptable	,不适应的
unadjusted	,未调整的
unadmired	,无人喜爱的
unadventurous	,不冒险的
unaffected	,不受影响的
unafraid	,不害怕的
unaided	,无助的
unalive	,不清醒的
unallayed	,未减轻的
unalluring	,不迷人的
unalterable	,不可移易的
unambiguous	,清晰的
unambitious	,无抱负的
unamiable	,不亲切的
unanalyzable	,无法分析的
unanimity	,一致
unanswerable	,无法回答的
unanswered	,未回答的
unappalled	,不屈不挠的
unappealing	,不吸引人的
unappeasable	,不能和解的
unappeasable hunger	,难忍的饥饿
unapplicable	,不适用的
unappreciated	,未得赏识的
unapprehended	,不理解的
unapprehensive	,理解力差的
unapt	,不合适的
unassailable	,不容置疑的
unassertive	,谦逊的
unassignable	,无法分配的
unassisted	,无助的
unassured	,缺乏自信的
unattainable	,达不到的
unattended	,无陪伴的
unauthentic	,不真实的
unavailing	,无效的
unavoidable	,不可避免的
unavoidable cause	,不可避免的原因
unaware	,不知道的
unaware need	,莫名需求
unbalance	,失去平衡
unbalanced error	,不平衡误差
unbalanced state	,不平衡状态
unbalanced type	,不平衡型
unbecoming	,不恰当的
unbelievable	,难以相信的
unbeliever	,不轻信的人
unbiased error	,不偏误差
unbiased estimate	,不偏估计
unbiased estimator	,不偏估计数
unbiased sample	,不偏样本
unbiased statistics	,不偏统计量
unbiased test	,无偏检验
unbiassed	,不偏的
unbrace	,放松
unbred	,无教养的
uncertainty	,不确定性
uncertainty analysis	,不确定性分析
uncertainty avoidance	,不确定性规避
uncertainty relation	,否定关系
uncivil	,不文明的
uncivilized	,未开化的
unclassified data	,未分类资料
unclassified document	,非保密性文件
unclassified statistical data	,未分类统计资料
unclean	,不洁的
unclubable	,不善交际的
uncomely	,丑陋的
uncommitted	,未遂的
uncompanionable	,不爱交际的
uncompleted	,未完成的
uncompleted survey	,未完成调查
unconcern	,漠不关心的
unconditional	,无条件
unconditional positive regard	,无条件积极关怀
unconditioned connection	,无条件联系
unconditioned defense reaction	,无条件防御反应
unconditioned inhibition	,无条件抑制
unconditioned reflex	,无条件反射
unconditioned reflex activity	,无条件反射活动
unconditioned reinforcer	,无条件强化物 非制约增强物
unconditioned response	,无条件反应
unconditioned stimulus	,无条件刺激
unconditioning	,无条件作用
unconformity	,不顺从
unconscious	,潜意识
unconscious	,无意识
unconscious cerebration	,潜意识思考
unconscious conflict	,潜意识冲突
unconscious homosexuality	,潜意识同性恋
unconscious inference	,无意识推理
unconscious intentionality	,无意识意向性 潜意识意向性
unconscious learning	,无意识学习
unconscious memory	,潜意识记忆
unconscious motivation	,潜意识动机
unconscious motive	,潜意识动机
unconscious motive of crime	,无意识犯罪动机
unconscious movement	,无意识动作
unconscious phantasy	,潜意识幻想
unconscious process	,潜意识过程
unconscious selection	,无意识选择
unconscious sense of guilt	,潜意识罪恶感 潜意识罪恶感
unconscious symbol	,无意识象征
unconsciousness	,无意识
unconsciousness	,潜意识
unconsciousness time	,无意识时间
unconstant	,无规则的
unconstrained	,非强迫的
uncontrollable noise	,不能控制的噪声
uncontrolled	,无控制的
uncontrolled association	,自由联想
uncontrolled factor	,不受控制因素
uncontrolled observation	,非控制观察
uncooperative	,不合作的
uncoordinated eye movement	,不协调眼动
uncork	,发泄
uncorrectable	,不可挽回的
uncorrected	,未加管教的
uncorrelated observation	,非相关观察
uncourteous	,粗鲁的
uncrossed disparity	,非交叉差异
uncrossed double image	,非交叉二重像 非交叉二重像
under bust circumference	,下部胸围
under development	,发育不全的
underachieve	,未发挥潜能
underachievement	,低成就
underachiever	,低成就者
underconsumption	,消费不足
undercontrol	,抑制不足
undercurrent	,潜流
underdog effect	,失败效应
underextension	,外延过窄
underfed	,营养不良
undergeneralization	,词义缩小
undergo	,经历
undergraduate	,大学生
undergrown	,发育不全的
underload	,低负荷
undermine	,逐渐损害
undernourishment	,营养不良
underpinning	,基础
underprivileged	,贫困的
underprivileged children	,贫困儿童
undersea habitat	,水下生活
understand	,理解
understandable	,可理解的
understanding	,理解
understanding psychology	,内识心理学
undertone	,低声
undertrained	,训练不够
undertreat	,治疗不足的
underwater effect	,水下作用
underwater performance	,水下作业
underwater psychology	,水下心理学
underwater vision	,水下视觉
underwater weighing method	,水中体重测定法
underweight	,过轻
underdeveloped	,不发达的
undifferentiated	,未分化的
undifferentiated crying	,未分化的哭声
undifferentiated schizophrenia	,未分类精神分裂症
undifferentiated type	,未分类型
undifferentiation	,未分化
undigested data	,未经整理的数据
undigested statistical data	,未经整理的统计数据
undiscerning	,没有识别力的
undisclosed data	,未公开数据
undisclosed statistical data	,未公开统计数据
undiscriminating	,不加区别的
undistributed repetition	,集中学习
undoing	,解除
undoing mechanism	,解脱机制
undomesticated	,不适应家庭生活的
undue	,过度的
undulant	,波动的
unearthly	,超自然的
unease	,不安定
uneducable	,不可教的
uneducable retardate	,不可教育的弱智者
uneducated	,没受教育的
unemotional	,不易动感情的
unemployed assistance scheme	,失业辅助计划
unemployment	,失业
unemployment statistics	,失业统计
unenlightened	,不文明的
unenterprising	,没有进取心的
unequal	,不等的
unequal cell frequency	,不等数格内频率 不等数格内频次
unequal clusters	,不等群
unequal sample size	,不等样本数量
unequilibrated type	,不平衡型
unerring	,无偏差的
uneven distribution	,不均匀分布
uneven in development	,发展不平衡的
unexceptional	,平常的
unexpected crime	,突发性犯罪
unexpected fluctuation	,意外波动
unexplained	,未解释的
unexpressive	,没表情的
unfair	,不公平的
unfair treatment	,不公平待遇
unfathered	,无父的
unfeeling	,无情的
unfelt	,没被感觉到的
unfeminine	,不像女性的
unflattering	,准确的
unfledged	,未成熟的
unfolding model	,开展模式
unforeseen	,未预见到的
unforeseen event	,未预见事件
unforgettable	,难忘的
unforgiving	,不原谅人的
unfortified	,信念不足的
unfortunate	,不幸的
unfreezing	,解冻
unfriended	,没有朋友的
ungainly	,笨拙的
ungenerous	,胸襟狭窄的
ungentlemanliness	,无绅士风度
ungentlemanly	,缺乏教养的
ungifted	,缺乏才能的
ungovernable	,难抑制的
ungrateful	,忘恩负义的
ungrounded	,无基础的
ungrouped	,未分组的
ungrouped data	,未分组数据
ungrouped scores	,未分组分数
unguarded	,不谨慎的
unhackneyed	,不平凡的
unhandsome	,不礼貌的
unhandy	,不方便的
unhappy	,不幸福的
unharming	,不伤人的
unhealthful	,损害健康的
unhealthy life style	,不健康生活方式
unheeded	,没被注意的
unhinge	,使精神失常
uniaural	,单耳的
uniaural hearing	,单耳听觉
unicellular	,单细胞的
unicity	,单一性
unidentified	,未识别的
unidextrality	,单手性
unidimensional	,单维的
unidimensional coding	,单维编码
unidimensional estimator	,单维估计量
unidimensional scale	,单向度量表
unidimensional scaling	,单向度量法
unidimensional stimuli	,单维刺激
unidirectional	,单向的
unidirectional current	,直流电
unifactor model	,单因素模型
unification	,统一
unified whole	,统一整体
uniform	,一致
uniform chromaticity scale diagram	,均等色度图
uniform distribution	,均匀分布
uniform probability distribution	,均等概率分布
uniformity	,一致性
uniformity of illuminance	,照度均匀度
uniformity ratio of illuminance	,照度均匀度比
uniformly most powerful test	,一致最大功效检定
unilateral	,单侧的
unilateral awareness	,单方觉察
unilateral dressing apraxia	,单侧衣着运用不能
unilateral hallucination	,单侧性幻觉
unilateral neglect	,单侧性忽视
unilateral spatial agnosia	,单侧性空间失认
unilateral spatial neglect	,单侧性空间忽视
unilateral threat	,单方恐吓
unimanual	,单手的
unimodal	,单峰
unimodal curve	,单峰曲线
unimodal distribution	,单峰分配
unimodality	,单峰态
unimpressed	,无印记的
uninformed	,无知的
uninhabitable	,不适于居住的
uninjured	,未受损伤的
